combo,replication,revenue,perfect,difference
7,32,51516,76104,0.323084201
7,33,79500,98784,0.1952138
7,34,82560,100644,0.179682842
7,35,115620,116748,0.009661836
7,36,68292,91908,0.256952605
7,37,105264,110880,0.050649351
7,38,63552,86724,0.267192473
7,39,64752,88110,0.265100443
7,40,65520,89772,0.270151049
7,41,103356,110454,0.064262046
7,42,87132,102942,0.153581628
7,43,69696,91800,0.240784314
7,44,58344,82488,0.29269712
7,45,82800,101208,0.181882855
7,46,60924,84684,0.280572481
7,47,82320,101316,0.187492597
7,48,120000,120000,0.0
7,49,69132,92436,0.252109568
8,0,62592,84852,0.262339132
8,1,38328,58128,0.340627581
8,2,93576,106656,0.122637264
8,3,93912,105360,0.108656036
8,4,41808,64116,0.347931873
8,5,74868,95328,0.214627392
8,6,90012,103176,0.127587811
8,7,90360,103452,0.126551444
8,8,61644,84360,0.269274538
8,9,73296,95256,0.230536659
8,10,116328,119238,0.024404972
8,11,68916,92508,0.255026592
8,12,62856,84816,0.258913413
8,13,67116,89304,0.248454716
8,14,60384,84594,0.28619051
8,15,97152,108318,0.10308536
8,16,103776,108744,0.045685279
8,17,93300,104976,0.111225423
8,18,80976,99906,0.189478109
8,19,71268,93960,0.241507024
8,20,102960,110430,0.067644662
8,21,100080,107652,0.070337755
8,22,66108,89124,0.258246937
8,23,40560,62760,0.353728489
8,24,74880,93852,0.202148063
8,25,51384,75492,0.319345096
8,26,47364,72168,0.343698038
8,27,89040,103752,0.141799676
8,28,114744,118920,0.035116044
8,29,103920,108570,0.042829511
8,30,98304,107712,0.087344029
8,31,112596,115986,0.029227665
8,32,118896,120000,0.0092
8,33,71208,92076,0.226638864
8,34,83328,100338,0.169526999
8,35,69612,92820,0.250032321
8,36,52824,78540,0.327425516
8,37,75084,95604,0.214635371
8,38,96120,106722,0.099342216
8,39,64380,86796,0.258260749
8,40,23004,35400,0.350169492
8,41,73716,93516,0.211728474
8,42,91356,103422,0.116667634
8,43,88860,102846,0.135989732
8,44,65952,88428,0.254172886
8,45,79536,98610,0.193428658
8,46,81636,98598,0.172031887
8,47,101496,108558,0.065052783
8,48,116532,120000,0.0289
8,49,87684,102324,0.143074938
9,0,70836,92076,0.230679004
9,1,107520,112158,0.041352378
9,2,97848,106380,0.080203046
9,3,67920,92508,0.265793229
9,4,81240,97464,0.166461463
9,5,90528,102984,0.120950827
9,6,120000,120000,0.0
9,7,61728,82956,0.255894691
9,8,105192,109776,0.041757761
9,9,116016,120000,0.0332
9,10,109128,115170,0.052461579
9,11,100956,106998,0.056468345
9,12,52404,77268,0.321789098
9,13,84036,99084,0.15187114
9,14,90252,102948,0.123324397
9,15,60492,81072,0.253848431
9,16,73272,94056,0.220974738
9,17,91044,102120,0.108460635
9,18,105864,111144,0.047505938
9,19,96048,104292,0.07904729
9,20,84528,100398,0.158070878
9,21,82536,99282,0.168671058
9,22,97812,106470,0.081318681
9,23,106920,113562,0.058487874
9,24,54396,77292,0.296227294
9,25,47280,69768,0.322325421
9,26,47184,71028,0.335698598
9,27,107136,111954,0.043035532
9,28,79428,96996,0.181120871
9,29,107928,112380,0.03961559
9,30,105888,110784,0.044194107
9,31,77520,95772,0.190577622
9,32,95508,104814,0.088785849
9,33,54972,79824,0.311334937
9,34,104664,109698,0.045889624
9,35,73692,93528,0.21208622
9,36,103656,108576,0.045313882
9,37,69900,88596,0.211025328
9,38,94368,105060,0.101770417
9,39,80556,98064,0.178536466
9,40,114216,120000,0.0482
9,41,109704,116706,0.059996915
9,42,107496,113820,0.055561413
9,43,91092,102336,0.109873358
9,44,110880,116532,0.048501699
9,45,87756,102444,0.143375893
9,46,78288,97464,0.196749569
9,47,47892,71640,0.331490787
9,48,69036,89232,0.226331361
9,49,82992,98964,0.161392021
10,0,63636,88188,0.278405225
10,1,85134,102690,0.170961145
10,2,67818,92388,0.265943629
10,3,97416,108654,0.103429234
10,4,60630,86472,0.298848182
