combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
232,60,60,60,60,60,54,54,54,54,54,54,48,48,36,36
233,60,60,60,60,60,54,54,54,54,54,54,48,36,36,36
234,60,60,60,60,60,54,54,54,54,54,54,36,36,36,36
235,60,60,60,60,60,54,54,54,54,54,48,48,48,48,48
236,60,60,60,60,60,54,54,54,54,54,48,48,48,48,36
237,60,60,60,60,60,54,54,54,54,54,48,48,48,36,36
238,60,60,60,60,60,54,54,54,54,54,48,48,36,36,36
239,60,60,60,60,60,54,54,54,54,54,48,36,36,36,36
240,60,60,60,60,60,54,54,54,54,54,36,36,36,36,36
241,60,60,60,60,60,54,54,54,54,48,48,48,48,48,48
242,60,60,60,60,60,54,54,54,54,48,48,48,48,48,36
243,60,60,60,60,60,54,54,54,54,48,48,48,48,36,36
244,60,60,60,60,60,54,54,54,54,48,48,48,36,36,36
245,60,60,60,60,60,54,54,54,54,48,48,36,36,36,36
246,60,60,60,60,60,54,54,54,54,48,36,36,36,36,36
247,60,60,60,60,60,54,54,54,54,36,36,36,36,36,36
248,60,60,60,60,60,54,54,54,48,48,48,48,48,48,48
249,60,60,60,60,60,54,54,54,48,48,48,48,48,48,36
250,60,60,60,60,60,54,54,54,48,48,48,48,48,36,36
251,60,60,60,60,60,54,54,54,48,48,48,48,36,36,36
252,60,60,60,60,60,54,54,54,48,48,48,36,36,36,36
253,60,60,60,60,60,54,54,54,48,48,36,36,36,36,36
254,60,60,60,60,60,54,54,54,48,36,36,36,36,36,36
255,60,60,60,60,60,54,54,54,36,36,36,36,36,36,36
256,60,60,60,60,60,54,54,48,48,48,48,48,48,48,48
257,60,60,60,60,60,54,54,48,48,48,48,48,48,48,36
258,60,60,60,60,60,54,54,48,48,48,48,48,48,36,36
259,60,60,60,60,60,54,54,48,48,48,48,48,36,36,36
260,60,60,60,60,60,54,54,48,48,48,48,36,36,36,36
261,60,60,60,60,60,54,54,48,48,48,36,36,36,36,36
262,60,60,60,60,60,54,54,48,48,36,36,36,36,36,36
263,60,60,60,60,60,54,54,48,36,36,36,36,36,36,36
264,60,60,60,60,60,54,54,36,36,36,36,36,36,36,36
265,60,60,60,60,60,54,48,48,48,48,48,48,48,48,48
266,60,60,60,60,60,54,48,48,48,48,48,48,48,48,36
267,60,60,60,60,60,54,48,48,48,48,48,48,48,36,36
268,60,60,60,60,60,54,48,48,48,48,48,48,36,36,36
269,60,60,60,60,60,54,48,48,48,48,48,36,36,36,36
270,60,60,60,60,60,54,48,48,48,48,36,36,36,36,36
271,60,60,60,60,60,54,48,48,48,36,36,36,36,36,36
272,60,60,60,60,60,54,48,48,36,36,36,36,36,36,36
273,60,60,60,60,60,54,48,36,36,36,36,36,36,36,36
274,60,60,60,60,60,54,36,36,36,36,36,36,36,36,36
275,60,60,60,60,60,48,48,48,48,48,48,48,48,48,48
276,60,60,60,60,60,48,48,48,48,48,48,48,48,48,36
