combo,replication,revenue,perfect,difference
25,19,101574,106620,0.047326956
25,26,106944,111624,0.041926467
25,28,106890,111162,0.038430399
25,31,109812,113022,0.02840155
25,33,102564,107250,0.043692308
25,34,107340,111954,0.041213355
25,38,102576,107700,0.047576602
25,40,104460,108672,0.038758834
25,43,104922,110076,0.046822196
26,5,114138,117402,0.027801911
26,9,114072,118470,0.037123322
26,10,112620,112932,0.002762724
26,14,111726,114240,0.022006303
26,16,113700,118848,0.043315832
26,18,114300,118980,0.039334342
26,20,115344,120000,0.0388
26,24,106422,109116,0.024689321
26,25,112206,114078,0.016409825
26,28,113718,118104,0.037136761
26,32,107040,110850,0.034370771
26,36,113370,116244,0.024723857
26,40,114048,120000,0.0496
26,41,108960,110820,0.016783974
26,43,113580,117078,0.029877518
26,44,113004,114102,0.009622969
26,49,112218,114684,0.021502564
27,2,112176,115434,0.02822392
27,3,105030,108612,0.032979781
27,9,106656,109584,0.026719229
27,10,115674,120000,0.03605
27,14,104550,109806,0.047866237
27,21,110892,114090,0.028030502
27,22,111180,113922,0.0240691
27,25,108606,112278,0.032704537
27,26,108048,109860,0.016493719
27,28,113346,118548,0.04388096
27,30,113772,117960,0.035503561
27,34,106710,109362,0.024249739
27,35,115338,120000,0.03885
27,42,115134,120000,0.04055
27,44,115812,120000,0.0349
27,48,103194,107634,0.041250906
28,1,106260,110664,0.03979614
28,2,115002,120000,0.04165
28,3,102816,107412,0.042788515
28,4,115146,120000,0.04045
28,7,105774,110580,0.043461747
28,9,116376,120000,0.0302
28,12,103806,108846,0.046303952
28,18,99222,104412,0.04970693
28,19,105990,110178,0.038011218
28,24,118776,120000,0.0102
28,25,108750,112572,0.033951604
28,26,104598,108984,0.04024444
28,27,104004,108720,0.043377483
28,30,101334,105930,0.043387142
28,34,105816,111072,0.047320657
28,40,103434,108432,0.046093404
28,41,109536,114066,0.03971385
28,44,106404,110010,0.032778838
28,46,106818,112062,0.046795524
28,49,115728,120000,0.0356
29,2,118818,120000,0.00985
29,4,105600,110394,0.043426273
30,2,110496,111360,0.007758621
30,4,101988,107148,0.048157688
30,6,102900,107790,0.045365989
30,11,112488,115638,0.027240181
30,15,112104,115356,0.028190991
30,17,105696,108462,0.025502019
30,20,111420,114888,0.03018592
30,22,117912,120000,0.0174
30,26,109320,110214,0.008111492
30,27,111576,113058,0.013108316
30,35,111912,115956,0.034875298
30,36,102348,107088,0.044262662
30,37,116424,120000,0.0298
30,38,105204,109248,0.037016696
30,39,105360,109224,0.03537684
30,40,111864,115932,0.035089535
30,43,108852,109698,0.007712082
31,0,106260,108690,0.022357163
31,6,100596,105360,0.045216401
31,7,115248,120000,0.0396
31,10,112392,116196,0.032737788
31,16,104808,109992,0.0471307
31,19,105048,108954,0.035849992
31,23,113736,119304,0.04667069
31,24,110592,113340,0.024245633
31,26,108072,111126,0.027482317
31,27,113676,117450,0.032132822
31,29,102192,107388,0.048385294
31,30,111408,113256,0.016317016
31,32,104508,108252,0.034585966
31,34,112044,117450,0.046028097
31,40,99876,104796,0.046948357
31,42,113628,119280,0.047384306
31,46,110556,114666,0.035843232
31,47,111960,114888,0.02548569
31,48,102360,106674,0.04044097
31,49,112380,115896,0.030337544
32,4,106380,110820,0.04006497
32,5,103764,108624,0.044741494
32,9,102840,107820,0.046188091
32,11,103860,108960,0.046806167
32,24,114948,120000,0.0421
32,25,107556,110670,0.028137707
32,30,115440,120000,0.038
32,31,103548,107364,0.03554264
32,35,102660,106410,0.035241049
32,40,112776,118446,0.047869915
32,42,101580,106542,0.046573182
32,43,107016,112038,0.044824078
32,45,104508,109932,0.049339592
32,48,98904,103992,0.048926841
33,1,114108,120000,0.0491
33,3,101280,106230,0.046597006
33,12,100404,105408,0.047472678
33,32,100476,105756,0.049926245
35,4,116088,119040,0.024798387
35,5,115404,116478,0.009220625
35,9,114996,115128,0.00114655
35,12,116028,117432,0.011955855
35,17,116748,120000,0.0271
35,23,116604,120000,0.0283
35,27,115188,115188,0.0
35,31,115050,120000,0.04125
35,33,109152,112146,0.026697341
35,36,116004,119190,0.02673043
35,39,115410,116220,0.006969541
35,45,114768,116058,0.011115132
36,6,106440,110460,0.036393265
36,15,116334,118872,0.021350697
36,23,104958,109566,0.042056842
36,31,115392,115848,0.003936192
36,35,114762,114930,0.001461759
36,37,107130,110964,0.034551747
36,40,116502,120000,0.02915
36,43,115260,116256,0.0085673
36,45,105174,110646,0.049455019
36,47,116004,119070,0.025749559
37,0,113682,115884,0.01900176
37,4,102426,107634,0.048386198
37,5,116442,120000,0.02965
37,6,117078,120000,0.02435
37,9,111996,114324,0.020363178
37,11,116028,120000,0.0331
37,12,103374,108654,0.048594621
37,14,112644,114966,0.020197276
37,20,109248,111708,0.022021699
37,21,105498,109800,0.039180328
37,23,119232,120000,0.0064
37,28,108948,111990,0.02716314
37,32,117132,120000,0.0239
37,36,116160,118710,0.02148092
37,37,108408,110826,0.021817985
37,46,111144,113226,0.018388003
37,49,112698,116742,0.034640489
38,5,112440,113370,0.008203228
38,9,115038,118512,0.029313487
38,14,111150,111834,0.006116208
38,15,116460,120000,0.0295
38,17,113910,116418,0.02154306
38,18,115404,120000,0.0383
38,21,114384,118488,0.034636419
38,26,105126,109542,0.040313304
38,28,115746,120000,0.03545
38,32,113832,116838,0.025727931
38,36,110628,112962,0.020661815
38,49,103518,108588,0.046690242
39,1,107334,109986,0.02411216
39,8,103458,108654,0.047821525
39,11,112332,114840,0.02183908
39,12,117132,120000,0.0239
39,13,117042,120000,0.02465
39,16,113250,117480,0.036006129
39,18,103626,108768,0.047274934
39,26,106860,109314,0.022449092
39,27,114672,119280,0.038631791
39,30,116964,120000,0.0253
39,32,110508,113274,0.024418666
39,37,106638,109752,0.028373059
39,44,114858,119040,0.035131048
40,13,107616,112368,0.04228962
40,19,103404,107886,0.041543852
40,21,103392,107586,0.038982767
40,28,113730,119640,0.049398195
40,37,106170,109716,0.032319808
40,41,108000,112230,0.037690457
40,45,114774,120000,0.04355
40,48,106242,111624,0.048215438
40,49,116568,120000,0.0286
41,0,110916,111588,0.006022153
41,2,112452,113718,0.011132802
41,7,103206,108600,0.049668508
41,12,112104,113280,0.010381356
41,18,113220,116766,0.030368429
41,19,111528,114654,0.02726464
41,22,111456,113016,0.013803355
41,23,113628,117174,0.030262686
41,24,111480,114258,0.024313396
41,27,112308,116088,0.032561505
41,28,116670,120000,0.02775
41,30,113646,115920,0.019616977
41,32,111108,111420,0.002800215
41,33,109842,111150,0.011767881
41,37,111798,115728,0.033958938
41,40,111018,111900,0.007882038
41,41,110802,111342,0.004849922
41,42,113280,118824,0.046657241
41,44,117546,120000,0.02045
41,46,107676,109986,0.021002673
42,0,112392,116928,0.038793103
42,2,116502,120000,0.02915
42,3,110820,113796,0.026152062
42,5,109116,111252,0.019199655
